CustomerID;RISK;Account Balance;Duration of Credit (month);Payment Status of Previous Credit;Purpose;Credit Amount;Value Savings/Stocks;Length of current employment;Instalment per cent;Sex & Marital Status;Guarantors;Duration in Current address;Most valuable available asset;Age (years);Concurrent Credits;Type of apartment;No of Credits at this Bank;Occupation;No of dependents;Telephone;Foreign Worker
1000292;1;4;15;2;2;2221;3;3;2;2;1;4;3;20;3;1;1;3;1;1;1
1000293;1;4;6;4;3;1898;5;3;1;3;1;2;1;34;3;2;2;2;2;1;1
1000294;1;2;6;3;9;1449;2;5;1;1;1;2;3;31;1;2;2;3;2;1;1
1000295;1;4;15;3;2;960;4;4;3;2;1;2;2;30;3;2;2;3;1;1;1
1000296;1;4;36;2;1;8133;1;3;1;2;1;2;2;30;1;2;1;3;1;1;1
1000297;1;4;9;2;2;2301;2;2;2;2;1;4;2;22;3;1;1;3;1;1;1
1000298;1;4;6;3;9;1743;2;3;1;3;1;2;1;34;3;2;2;2;1;1;1
1000299;1;2;12;2;2;983;4;2;1;2;1;4;1;19;3;1;1;2;1;1;1
1000300;1;4;18;3;3;2320;1;1;2;4;1;3;1;34;3;2;2;3;1;1;1
1000301;1;1;12;1;8;339;1;5;4;4;1;1;3;45;1;2;1;2;1;1;1
1000302;1;3;24;2;3;5152;1;4;4;3;1;2;3;25;1;2;1;3;1;1;1
1000303;1;3;24;2;2;3749;1;2;2;2;1;4;3;26;3;2;1;3;1;1;1
1000304;1;4;9;4;3;3074;5;3;1;3;1;2;1;33;3;2;2;3;2;1;1
1000305;0;3;9;2;3;745;1;3;3;2;1;2;1;28;3;2;1;2;1;1;1
1000306;1;4;24;2;0;1469;2;5;4;4;1;4;1;41;3;1;1;2;1;1;1
1000307;1;1;6;2;2;1374;1;3;1;3;1;2;1;36;1;2;1;2;1;2;1
1000308;1;4;6;1;0;783;5;3;1;3;3;2;1;26;2;2;1;2;2;1;1
1000309;1;1;21;2;3;2606;1;2;4;2;1;4;2;28;3;1;1;4;1;2;1
1000310;1;4;54;0;1;9436;5;3;2;3;1;2;2;39;3;2;1;2;2;1;1
1000311;1;4;12;4;3;930;5;5;4;3;1;4;1;65;3;2;4;3;1;1;1
1000312;1;4;48;4;1;2751;5;5;4;3;1;3;3;38;3;2;2;3;2;2;1
1000313;1;4;6;4;0;250;4;3;2;2;1;2;1;41;1;2;2;2;1;1;1
1000314;1;2;24;2;0;1201;1;2;4;3;1;1;2;26;3;2;1;3;1;1;1
1000315;1;1;6;2;0;662;1;2;3;3;1;4;1;41;3;2;1;2;2;2;1
1000316;1;4;15;2;1;1300;5;5;4;3;1;4;4;45;1;3;1;3;2;1;1
1000317;1;4;24;1;9;1559;1;4;4;3;1;4;3;40;1;2;1;3;1;2;1
1000318;1;3;12;2;3;3016;1;3;3;4;1;1;3;24;3;2;1;3;1;1;1
1000319;1;4;15;4;3;1360;1;3;4;3;1;2;2;31;3;2;2;3;1;1;1
1000320;1;4;6;0;0;1204;2;3;4;3;1;1;4;35;1;1;1;3;1;1;2
1000321;1;4;10;2;0;1597;3;3;3;3;1;2;4;40;3;1;1;2;2;1;2
1000322;1;4;12;2;3;2073;2;3;4;2;2;2;1;28;3;2;1;3;1;1;1
1000323;1;4;11;2;9;2142;4;5;1;1;1;2;1;28;3;2;1;3;1;2;1
1000324;1;1;10;4;2;2132;5;2;2;2;2;3;1;27;3;1;2;3;1;1;2
1000325;1;4;10;2;0;1546;1;3;3;3;1;2;1;31;3;2;1;2;2;1;2
1000326;1;4;24;4;0;1287;4;5;4;2;1;4;1;37;3;2;2;3;1;2;1
1000327;1;4;10;2;0;1418;2;3;3;3;1;2;1;35;3;1;1;2;1;1;2
1000328;1;3;6;4;0;1343;1;5;1;3;1;4;1;46;3;2;2;3;2;1;2
1000329;1;4;18;2;0;2662;5;4;4;3;1;3;2;32;3;2;1;3;1;1;2
1000330;1;4;18;4;3;6070;1;5;3;3;1;4;3;33;3;2;2;3;1;2;1
1000331;1;4;24;4;6;1927;5;3;3;2;1;2;3;33;3;2;2;3;1;2;1
1000332;1;4;18;4;3;2404;1;3;2;2;1;2;3;26;3;2;2;3;1;1;1
1000333;1;4;6;4;3;1554;1;4;1;2;1;2;3;24;3;1;2;3;1;2;1
1000334;1;4;22;2;0;1283;5;4;4;2;1;4;2;25;3;1;1;3;1;1;1
1000335;1;4;24;3;0;717;5;5;4;4;1;4;3;54;3;2;2;3;1;2;1
1000336;1;1;24;2;2;1747;1;2;4;3;2;1;2;24;3;2;1;2;1;1;2
1000337;1;1;9;4;5;1288;2;5;3;3;3;4;1;48;3;2;2;3;2;1;2
1000338;1;1;10;4;0;1038;1;4;4;3;2;3;2;49;3;2;2;3;1;2;1
1000339;1;4;10;2;1;2848;2;3;1;3;2;2;1;32;3;2;1;3;2;1;1
1000340;1;4;12;2;1;1413;4;4;3;3;1;2;2;55;3;2;1;3;1;1;2
1000341;1;4;30;4;3;3077;5;5;3;3;1;2;3;40;3;2;2;3;2;2;1
1000342;1;1;24;1;1;3632;1;3;1;2;3;4;3;22;1;1;1;3;1;1;2
1000343;1;4;18;4;1;3229;5;1;2;3;1;4;4;38;3;2;1;4;1;2;1
1000344;1;4;9;2;0;3577;2;3;1;3;3;2;1;26;3;1;1;3;2;1;2
1000345;1;4;12;4;0;682;2;4;4;2;1;3;3;51;3;2;2;3;1;2;1
1000346;1;4;10;2;3;1924;1;3;1;3;1;4;2;38;3;2;1;3;1;2;2
1000347;1;4;10;2;6;727;3;5;4;3;1;4;4;46;3;3;1;3;1;2;1
1000348;1;3;10;4;0;781;1;5;4;3;1;4;4;63;3;3;2;3;1;2;1
1000349;1;1;12;4;0;2121;1;3;4;3;1;2;2;30;3;2;2;3;1;1;1
1000350;1;4;12;4;6;701;1;3;4;3;1;2;3;32;3;2;2;3;1;1;1
1000351;1;4;10;4;2;2069;5;3;2;4;1;1;3;26;3;2;2;3;1;1;2
1000352;1;4;24;2;0;1525;4;4;4;2;1;3;3;34;3;2;1;3;2;2;1
1000353;1;4;48;4;9;7629;5;5;4;1;1;2;3;46;1;2;2;4;2;1;1
1000354;0;1;12;4;0;3499;1;3;3;2;2;2;1;29;3;2;2;3;1;1;1
1000355;1;4;6;2;3;1346;2;5;2;3;1;4;4;42;1;3;1;3;2;2;1
1000356;1;4;36;4;1;10477;5;5;2;3;1;4;4;42;3;3;2;3;1;1;1
1000357;1;1;24;2;1;2924;1;3;3;3;3;4;4;63;1;2;1;3;2;2;1
1000358;1;4;10;4;0;1231;1;5;3;3;1;4;1;32;3;2;2;2;2;1;2
1000359;1;3;18;2;0;1961;1;5;3;2;1;2;3;23;3;2;1;4;1;1;1
1000360;1;4;15;4;0;5045;5;5;1;2;1;4;3;59;3;2;1;3;1;2;1
1000361;1;4;12;4;0;1255;1;5;4;3;1;4;1;61;3;2;2;2;1;1;1
1000362;1;1;12;2;2;1858;1;2;4;2;1;1;3;22;3;1;1;3;1;1;1
1000363;1;4;6;4;2;1221;5;3;1;4;1;2;2;27;3;2;2;3;1;1;1
1000364;1;4;9;2;2;1388;1;3;4;2;1;2;1;26;3;1;1;3;1;1;1
1000365;1;4;12;2;3;2279;5;3;4;3;1;4;4;37;3;3;1;3;1;2;1
1000366;1;4;12;0;2;2759;1;5;2;3;1;4;2;34;3;2;2;3;1;1;1
1000367;1;3;24;2;3;1258;3;3;3;2;1;3;3;57;3;2;1;2;1;1;1
1000368;1;2;12;0;8;1410;1;3;2;3;1;2;1;31;3;2;1;2;1;2;1
1000369;1;1;15;2;0;1403;1;3;2;2;1;4;3;28;3;1;1;3;1;1;1
1000370;1;1;24;2;2;3021;1;3;2;1;1;2;1;24;3;1;1;2;1;1;1
1000371;1;1;24;2;9;6568;1;3;2;4;1;2;3;21;2;2;1;2;1;1;1
1000372;1;4;24;4;3;2578;4;5;2;3;1;2;3;34;3;2;1;3;1;1;1
1000373;1;2;24;4;1;7758;4;5;2;2;1;4;4;29;3;1;1;3;1;1;1
1000374;1;1;6;2;4;343;1;2;4;2;1;1;1;27;3;2;1;3;1;1;1
1000375;1;4;21;3;2;1591;2;4;4;3;1;3;1;34;3;2;2;4;1;1;1
1000376;1;1;27;2;3;3416;1;3;3;3;1;2;3;27;3;2;1;4;1;1;1
1000377;0;1;12;0;5;1108;1;4;4;3;1;3;1;28;3;2;2;3;1;1;1
1000378;1;2;27;3;1;5965;1;5;1;3;1;2;3;30;3;2;2;4;1;2;1
1000379;1;2;15;2;5;1514;2;3;4;3;3;2;1;22;3;2;1;3;1;1;1
1000380;1;4;30;4;3;6742;5;4;2;3;1;3;2;36;3;2;2;3;1;1;1
1000381;1;1;18;2;2;3650;1;2;1;2;1;4;3;22;3;1;1;3;1;1;1
1000382;1;1;21;2;2;3599;1;4;1;2;1;4;3;26;3;1;1;2;1;1;1
1000383;1;4;60;4;0;13756;5;5;2;3;1;4;4;63;1;3;1;4;1;2;1
1000384;1;2;9;2;0;276;1;3;4;4;1;4;1;22;3;1;1;2;1;1;1
1000385;1;4;42;4;2;4041;3;3;4;3;1;4;1;36;3;2;2;3;1;2;1
1000386;1;2;9;2;3;458;1;3;4;3;1;3;1;24;3;2;1;3;1;1;1
1000387;0;2;9;2;2;918;1;3;4;2;1;1;2;30;3;2;1;3;1;1;1
1000388;1;4;24;2;0;7393;1;3;1;3;1;4;2;43;3;2;1;2;2;1;1
1000389;1;3;10;2;4;1225;1;3;2;3;1;2;3;37;3;2;1;3;1;2;1
1000390;1;1;24;2;1;2812;5;5;2;2;1;4;1;26;3;1;1;3;1;1;1
1000391;1;4;15;2;1;3029;1;4;2;3;1;2;3;33;3;2;1;3;1;1;1
1000392;1;3;12;4;0;1480;3;1;2;3;1;4;4;66;1;3;3;1;1;1;1
1000393;1;3;6;4;6;1047;1;3;2;2;1;4;2;50;3;2;1;2;1;1;1
1000394;1;4;15;4;3;1471;1;3;4;3;1;4;4;35;3;3;2;3;1;2;1
1000395;1;4;24;2;2;5511;2;3;4;3;1;1;3;25;2;2;1;3;1;1;1
1000396;1;2;9;2;3;1206;1;5;4;2;1;4;1;25;3;2;1;3;1;1;1
1000397;1;2;24;3;3;6403;1;2;1;3;1;2;3;33;3;2;1;3;1;1;1
1000398;1;4;12;2;3;707;1;3;4;3;1;2;1;30;1;2;2;3;1;1;1
1000399;1;4;12;3;1;1503;1;3;4;4;1;4;1;41;3;1;1;3;1;1;1
1000400;1;2;12;2;0;6078;1;4;2;3;1;2;3;32;3;2;1;3;1;1;1
1000401;1;2;27;2;9;2528;1;2;4;2;1;1;2;32;3;2;1;3;2;2;1
1000402;1;2;12;2;9;1037;2;4;3;3;1;4;1;39;3;2;1;2;1;1;1
1000403;1;1;6;2;1;1352;3;1;1;2;1;2;2;23;3;1;1;1;1;2;1
1000404;1;4;24;2;3;3181;1;2;4;2;1;4;2;26;3;2;1;3;1;2;1
1000405;1;4;18;2;3;4594;1;2;3;3;1;2;3;32;3;2;1;3;1;2;1
1000406;1;2;48;2;10;5381;5;1;3;3;1;4;4;40;1;3;1;1;1;2;1
1000407;1;4;15;2;1;4657;1;3;3;3;1;2;3;30;3;2;1;3;1;2;1
1000408;1;2;9;2;9;1391;1;3;2;4;1;1;1;27;1;2;1;3;1;2;1
1000409;1;2;18;2;9;1913;4;2;3;4;1;3;1;36;1;2;1;3;1;2;1
1000410;1;4;42;2;3;7166;5;4;2;4;1;4;2;29;3;1;1;3;1;2;1
1000411;1;4;13;2;3;1409;2;1;2;2;1;4;1;64;3;2;1;3;1;1;1
1000412;1;4;24;3;9;2978;5;3;4;3;1;4;1;32;3;2;2;3;2;2;1
1000413;1;4;12;4;3;976;5;5;4;3;1;4;3;35;3;2;2;3;1;1;1
1000414;1;4;24;3;9;2375;3;3;4;3;1;2;3;44;3;2;2;3;2;2;1
1000415;1;4;12;4;3;522;3;5;4;3;1;4;2;42;3;2;2;3;2;2;1
1000416;1;4;28;4;3;2743;1;5;4;3;1;2;3;29;3;2;2;3;1;1;1
1000417;1;4;11;4;3;1154;2;1;4;2;1;4;1;57;3;2;3;2;1;1;1
1000418;1;4;24;4;1;5804;4;3;4;3;1;2;1;27;3;2;2;3;1;1;1
1000419;1;4;18;4;3;1169;5;3;4;3;1;3;2;29;3;2;2;3;1;2;1
1000420;1;1;15;4;2;1478;1;5;4;3;1;4;3;44;3;2;2;3;2;2;1
1000421;1;4;12;2;3;776;1;3;4;4;1;2;1;28;3;2;1;3;1;1;1
1000422;1;2;11;4;0;1322;4;3;4;2;1;4;3;40;3;2;2;3;1;1;1
1000423;1;2;16;4;0;1175;1;1;2;3;1;3;3;68;3;3;3;1;1;2;1
1000424;1;4;12;2;0;2133;5;5;4;2;1;4;4;52;3;3;1;4;1;2;1
1000425;1;4;15;4;3;1829;1;5;4;3;1;4;3;46;3;2;2;3;1;2;1
1000426;1;4;12;4;3;717;1;5;4;3;1;4;1;52;3;2;3;3;1;1;1
1000427;1;2;39;3;6;11760;2;4;2;3;1;3;4;32;3;1;1;3;1;2;1
1000428;0;2;9;4;6;1501;1;5;2;2;1;3;3;34;3;2;2;4;1;2;1
1000429;1;1;12;2;6;1200;5;3;4;2;1;4;2;23;1;1;1;3;1;2;1
1000430;1;2;9;2;0;3195;5;3;1;2;1;2;1;33;3;2;1;2;1;1;1
1000431;1;4;30;4;3;4530;1;4;4;2;1;4;3;26;3;1;1;4;1;2;1
1000432;0;4;12;3;5;1555;4;5;4;3;1;4;4;55;3;3;2;3;2;1;1
1000433;1;2;15;4;9;2326;3;3;2;3;1;4;3;27;1;2;1;3;1;1;1
1000434;1;2;18;4;9;1887;5;3;4;4;1;4;1;28;1;2;2;3;1;1;1
1000435;1;4;12;4;9;1264;5;5;4;3;1;4;4;57;3;1;1;2;1;1;1
1000436;1;4;7;3;3;846;5;5;3;3;1;4;4;36;3;3;1;3;1;1;1
1000437;1;4;15;4;6;1532;2;3;4;2;1;3;3;31;3;2;1;3;1;1;1
1000438;1;4;6;3;3;935;1;3;3;2;1;2;1;24;3;2;1;3;1;1;1
1000439;1;1;27;4;9;2442;1;5;4;3;1;4;3;43;2;2;4;4;2;2;1
1000440;1;2;18;4;9;3590;1;1;3;4;1;3;3;40;3;2;3;1;2;2;1
1000441;1;4;21;4;2;2288;1;2;4;2;1;4;2;23;3;2;1;3;1;2;1
1000442;1;4;27;3;9;5117;1;4;3;3;1;4;3;26;3;2;2;3;1;1;1
1000443;1;1;39;4;2;14179;5;4;4;3;1;4;2;30;3;2;2;4;1;2;1
1000444;1;4;15;2;3;1386;5;3;4;4;1;2;1;40;3;1;1;3;1;2;1
1000445;1;4;12;4;3;618;1;5;4;3;1;4;1;56;3;2;1;3;1;1;1
1000446;1;4;12;2;2;1574;1;3;4;3;1;2;1;50;3;2;1;3;1;1;1
1000447;1;4;6;4;3;700;5;5;4;3;1;4;4;36;3;3;2;3;1;1;1
1000448;1;4;12;2;3;886;5;3;4;2;1;2;3;21;3;2;1;3;1;1;1
1000449;1;4;36;2;1;4686;1;3;2;3;1;2;4;32;3;3;1;4;1;2;1
1000450;1;2;9;2;3;790;3;3;4;2;1;3;1;66;3;2;1;2;1;1;1
1000451;0;2;12;2;3;766;3;3;4;3;1;3;1;66;3;2;1;2;1;1;1
1000452;1;1;20;2;2;2212;5;4;4;3;1;4;3;39;3;2;1;3;1;2;1
1000453;1;2;10;2;0;7308;1;1;2;3;1;4;4;70;1;3;1;4;1;2;1
1000454;1;2;24;4;6;5743;1;2;2;2;1;4;4;24;3;3;2;3;1;2;1
1000455;1;1;14;2;0;3973;1;1;1;3;1;4;4;22;3;3;1;3;1;1;1
1000456;1;2;60;3;3;7418;5;3;1;3;1;1;1;27;3;2;1;2;1;1;1
1000457;1;2;20;3;10;2629;1;3;2;3;1;3;3;29;1;2;2;3;1;2;1
1000458;1;2;18;2;9;1941;4;3;4;3;1;2;2;35;3;2;1;2;1;2;1
1000459;1;2;24;3;2;2333;5;2;4;3;1;2;2;29;1;2;1;2;1;1;1
1000460;1;4;12;2;1;2445;5;2;2;4;1;4;3;26;3;1;1;3;1;2;1
1000461;1;2;20;2;1;6468;5;1;1;1;1;4;1;60;3;2;1;4;1;2;1
1000462;1;2;18;4;2;7374;1;1;4;3;1;4;2;40;2;2;2;4;1;2;1
1000463;1;4;15;2;1;3812;2;2;1;2;1;4;3;23;3;2;1;3;1;2;1
1000464;0;1;28;2;0;4006;1;3;3;3;1;2;3;45;3;2;1;2;1;1;1
1000465;1;2;12;2;0;7472;5;1;1;2;1;2;1;24;3;1;1;1;1;1;1
1000466;1;3;12;2;2;1424;5;5;3;2;1;4;1;55;3;2;1;4;1;2;1
1000467;1;2;12;2;1;2028;5;3;4;3;1;2;3;30;3;2;1;3;1;1;1
1000468;1;4;15;2;0;5324;3;5;1;2;1;4;4;35;3;3;1;3;1;1;1
1000469;1;2;36;2;3;2323;1;4;4;3;1;4;3;24;3;1;1;3;1;1;1
1000470;1;4;12;2;6;1393;1;5;4;3;1;4;2;47;1;2;3;3;2;2;1
1000471;1;4;18;2;2;1984;1;3;4;3;1;4;4;47;1;3;2;3;1;1;1
1000472;1;4;24;2;3;999;5;5;4;3;1;2;3;25;3;2;2;3;1;1;1
1000473;1;4;36;2;9;7409;5;5;3;3;1;2;2;37;3;2;2;3;1;1;1
1000474;1;4;15;2;2;2186;5;4;1;2;1;4;1;33;1;1;1;2;1;1;1
1000475;1;3;36;2;3;4473;1;5;4;3;1;2;3;31;3;2;1;3;1;1;1
1000476;1;4;24;2;8;937;1;2;4;4;1;3;3;27;3;2;2;2;1;1;1
1000477;1;4;18;2;2;3422;1;5;4;3;1;4;2;47;1;2;3;3;2;2;1
1000478;1;4;24;2;3;3105;5;2;4;3;1;2;3;25;3;2;2;3;1;1;1
1000479;1;4;12;4;6;2748;1;5;2;2;1;4;4;57;1;3;3;2;1;1;1
1000480;1;2;18;2;5;3872;1;1;2;2;1;4;3;67;3;2;1;3;1;2;1
1000481;1;4;27;2;5;5190;5;5;4;3;1;4;2;48;3;2;4;3;2;2;1
1000482;1;2;18;2;2;3001;1;4;2;2;1;4;1;40;3;1;1;3;1;1;1
1000483;1;4;24;3;9;3863;1;3;1;3;1;2;4;32;3;3;1;3;1;1;1
1000484;1;4;12;4;2;5801;5;5;2;3;1;4;2;49;3;1;1;3;1;2;2
1000485;1;4;12;4;2;1592;4;4;3;2;1;2;2;35;3;2;1;3;1;1;1
1000486;1;4;12;4;9;1185;1;3;3;2;1;2;1;27;3;2;2;3;1;1;1
1000487;1;4;18;4;2;3780;1;2;3;1;1;2;3;35;3;2;2;4;1;2;1
1000488;1;2;18;4;2;3612;1;5;3;2;1;4;2;37;3;2;1;3;1;2;2
1000489;1;4;12;2;9;1076;1;3;2;4;1;2;1;26;3;2;1;3;1;2;1
1000490;1;4;12;2;0;3527;5;2;2;3;1;3;2;45;3;2;1;4;2;2;1
1000491;1;4;18;2;3;2051;1;2;4;3;1;1;1;33;3;2;1;3;1;1;1
1000492;1;4;12;4;2;3331;1;5;2;3;1;4;2;42;2;2;1;3;1;1;1
1000493;1;1;18;0;9;3104;1;4;3;3;1;1;2;31;1;2;1;3;1;2;1
1000494;1;4;24;4;3;2611;1;5;4;4;2;3;1;46;3;2;2;3;1;1;1
1000495;1;1;12;4;1;1409;1;5;4;3;1;3;1;54;3;2;1;3;1;1;1
1000496;1;4;24;2;3;1311;2;4;4;4;1;3;2;26;3;2;1;3;1;2;1
1000497;1;4;6;2;3;2108;1;4;2;4;1;2;1;29;3;1;1;3;1;1;1
1000498;1;4;24;4;1;4042;5;4;3;3;1;4;2;43;3;2;2;3;1;2;1
1000499;1;4;12;4;0;926;1;1;1;2;1;2;2;38;3;2;1;1;1;1;1
1000500;1;1;12;2;3;1680;3;5;3;4;1;1;1;35;3;2;1;3;1;1;1
1000501;1;4;24;2;0;1249;1;2;4;4;1;2;1;28;3;2;1;3;1;1;1
1000502;1;4;24;4;0;2463;2;4;4;4;1;3;2;27;3;2;2;3;1;2;1
1000503;1;4;6;2;3;1595;1;4;3;3;1;2;2;51;3;2;1;3;2;1;1
1000504;1;4;24;4;5;2058;1;3;4;1;1;2;1;33;3;2;2;3;1;2;1
1000505;1;4;24;2;1;7814;1;4;3;3;1;3;3;38;3;2;1;4;1;2;1
1000506;1;4;6;4;3;1740;1;5;2;4;1;2;1;30;3;1;2;3;1;1;1
1000507;1;4;12;4;3;1240;5;5;4;2;1;2;1;38;3;2;2;3;1;2;1
1000508;1;4;24;4;1;6842;5;3;2;3;1;4;2;46;3;2;2;4;2;2;1
1000509;1;4;24;4;2;5150;1;5;4;3;1;4;3;33;3;2;1;3;1;2;1
1000510;1;1;6;2;0;1203;2;5;3;3;1;2;2;43;3;2;1;3;1;2;1
1000511;1;4;6;4;0;2080;3;3;1;4;1;2;3;24;3;2;1;3;1;1;1
1000512;1;4;6;2;6;1538;1;2;1;2;1;2;4;56;3;2;1;3;1;1;1
1000513;1;2;24;4;0;3878;2;2;4;1;1;2;3;37;3;2;1;3;1;2;1
1000514;1;2;30;2;2;3832;1;2;2;4;1;1;2;22;3;2;1;3;1;1;1
1000515;1;4;15;2;0;3186;4;4;2;2;1;3;3;20;3;1;1;3;1;1;1
1000516;1;2;24;2;3;2896;2;2;2;3;1;1;3;29;3;2;1;3;1;1;1
1000517;1;2;24;3;9;6967;2;4;4;3;1;4;3;36;3;1;1;4;1;2;1
1000518;0;4;36;2;6;1819;1;3;4;3;1;4;4;37;2;3;1;3;1;2;1
1000519;0;4;24;2;3;5943;5;2;1;2;1;1;3;44;3;2;2;3;1;2;1
1000520;0;4;36;4;2;7127;1;2;2;2;1;4;2;23;3;1;2;3;1;2;1
1000521;0;4;36;2;2;3349;1;3;4;2;1;2;3;28;3;2;1;4;1;2;1
1000522;0;4;36;2;2;10974;1;1;4;2;1;2;3;26;3;2;2;4;1;2;1
1000523;1;4;6;2;3;518;1;3;3;2;1;1;1;29;3;2;1;3;1;1;1
1000524;1;4;18;2;3;1126;5;2;4;2;1;2;1;21;3;1;1;3;1;2;1
1000525;1;2;12;4;1;1860;1;1;4;3;1;2;3;34;3;2;2;4;1;2;1
1000526;1;4;36;4;3;9566;1;3;2;2;1;2;3;31;2;2;2;3;1;1;1
1000527;1;1;12;2;3;701;1;3;4;4;1;2;1;40;3;2;1;2;1;1;1
1000528;1;2;12;2;3;2930;1;4;2;2;1;1;1;27;3;2;1;3;1;1;1
1000529;1;4;18;2;3;1505;1;3;4;3;1;2;4;32;3;3;1;4;1;2;1
1000530;1;4;18;4;3;2238;1;3;2;2;1;1;3;25;3;2;2;3;1;1;1
1000531;1;4;4;4;3;1503;1;4;2;3;1;1;1;42;3;2;2;2;2;1;1
1000532;1;4;24;4;1;2197;5;4;4;3;1;4;3;43;3;2;2;3;2;2;1
1000533;1;3;12;2;3;1881;1;3;2;2;1;2;3;44;3;1;1;2;1;2;1
1000534;1;1;18;4;3;1880;1;4;4;4;1;1;2;32;3;2;2;4;1;2;1
1000535;1;1;18;2;3;2389;1;2;4;2;1;1;3;27;2;2;1;3;1;1;1
1000536;1;2;24;2;3;1967;1;5;4;2;1;4;3;20;3;2;1;3;1;2;1
1000537;1;4;4;4;0;3380;1;4;1;2;1;1;1;37;3;2;1;3;2;1;1
1000538;1;4;4;4;0;1455;1;4;2;3;1;1;1;42;3;2;3;2;2;1;1
1000539;1;4;7;4;3;730;5;5;4;3;1;2;2;46;3;1;2;2;1;2;1
1000540;1;2;18;0;2;3244;1;3;1;2;1;4;3;33;1;2;2;3;1;2;1
1000541;0;2;9;2;3;1670;1;2;4;2;1;2;3;22;3;2;1;3;1;2;1
1000542;1;2;48;2;3;3979;5;4;4;3;1;1;3;41;3;2;2;3;2;2;1
1000543;0;2;12;2;2;1922;1;3;4;3;1;2;2;37;3;2;1;2;1;1;1
1000544;1;2;18;4;2;1295;1;2;4;2;1;1;2;27;3;2;2;3;1;1;1
1000545;1;4;4;4;3;1544;1;4;2;3;1;1;1;42;3;2;3;2;2;1;1
1000546;1;2;8;2;9;907;1;2;3;4;1;2;1;26;3;2;1;3;1;2;1
1000547;1;2;30;2;3;1715;5;3;4;2;1;1;3;26;3;2;1;3;1;1;1
1000548;1;3;10;4;3;1347;5;4;4;3;1;2;2;27;3;2;2;3;1;2;1
1000549;1;2;12;2;0;1007;4;3;4;4;1;1;1;22;3;2;1;3;1;1;1
1000550;1;4;12;4;2;1402;3;4;3;2;1;4;3;37;3;1;1;3;1;2;1
1000551;1;2;12;2;0;2002;1;4;3;3;1;4;2;30;3;1;1;3;2;2;1
1000552;1;4;12;4;6;2096;1;4;2;3;1;3;1;49;3;2;1;2;2;1;1
1000553;1;4;12;2;0;1101;1;3;3;4;1;2;1;27;3;2;2;3;1;2;1
1000554;1;4;10;2;8;894;5;4;4;2;1;3;2;40;3;2;1;3;1;2;1
1000555;1;2;11;2;2;1577;4;2;4;2;1;1;1;20;3;2;1;3;1;1;1
1000556;1;4;33;3;9;2764;1;3;2;2;1;2;3;26;3;2;2;3;1;2;1
1000557;1;2;48;0;0;8358;3;2;1;2;1;1;3;30;3;2;2;3;1;1;1
1000558;1;3;12;2;2;1474;1;2;4;2;1;1;2;33;1;2;1;4;1;2;1
1000559;1;4;24;2;1;5433;5;1;2;2;1;4;2;26;3;1;1;4;1;2;1
1000560;1;2;14;2;9;1410;3;5;1;4;1;2;1;35;3;2;1;3;1;2;1
1000561;1;4;20;4;0;3485;5;2;2;1;1;4;1;44;3;2;2;3;1;2;1
1000562;1;4;18;4;1;3850;1;4;3;3;1;1;3;27;3;2;2;3;1;1;1
1000563;0;2;60;2;0;7408;2;2;4;2;1;2;2;24;3;2;1;4;1;1;1
1000564;1;3;24;2;3;1377;2;5;4;2;1;2;4;47;3;3;1;3;1;2;1
1000565;1;4;30;3;9;4272;2;3;2;3;1;2;2;26;3;2;2;2;1;1;1
1000566;1;2;24;3;3;1553;2;4;3;2;1;2;2;23;3;1;2;3;1;2;1
1000567;1;2;36;3;9;9857;2;4;1;3;1;3;2;31;3;2;2;2;2;2;1
1000568;1;4;6;4;0;362;2;3;4;2;1;4;3;52;3;2;2;2;1;1;1
1000569;1;4;12;4;2;1935;1;5;4;3;1;4;1;43;3;2;3;3;1;2;1
1000570;1;4;48;2;3;10222;5;4;4;3;1;3;3;37;2;2;1;3;1;2;1
1000571;1;3;12;2;0;1330;1;2;4;3;1;1;1;26;3;2;1;3;1;1;1
1000572;1;4;36;2;6;9055;5;3;2;3;1;4;4;35;3;3;1;2;2;2;1
1000573;1;2;26;2;1;7966;1;2;2;3;1;3;3;30;3;2;2;3;1;1;1
1000574;1;2;30;1;2;3496;4;3;4;3;1;2;3;34;2;2;1;3;2;2;1
1000575;1;2;36;2;1;6948;1;3;2;3;1;2;3;35;3;1;1;4;1;2;1
1000576;1;2;48;0;9;12204;5;3;2;3;1;2;3;48;1;2;1;4;1;2;1
1000577;0;1;36;2;2;3446;1;5;4;3;1;2;3;42;3;2;1;3;2;1;1
1000578;0;1;12;2;6;684;1;3;4;3;1;4;3;40;3;1;1;2;2;1;1
1000579;0;1;33;4;2;4281;3;3;1;2;1;4;3;23;3;2;2;3;1;1;1
1000580;0;1;42;2;3;7174;5;4;4;2;1;3;3;30;3;2;1;4;1;2;1
1000581;0;1;24;1;3;1546;1;4;4;3;3;4;3;24;1;1;1;2;1;1;1
1000582;0;1;24;2;2;2359;2;1;1;1;1;1;2;33;3;2;1;3;1;1;1
1000583;0;4;24;2;3;3621;2;5;2;3;1;4;3;31;3;2;2;3;1;1;1
1000584;0;1;12;2;4;741;2;1;4;2;1;3;2;22;3;2;1;3;1;1;1
1000585;0;1;12;2;2;7865;1;5;4;3;1;4;4;53;3;3;1;4;1;2;1
1000586;1;1;24;2;1;2910;1;4;2;3;1;1;4;34;3;3;1;4;1;2;1
